,Índice FipeZAP,Imóveis residenciais,Imóveis residenciais.1,Imóveis residenciais.2,Imóveis comerciais,Imóveis comerciais.1,Imóveis comerciais.2
0,,Venda,Locação,Rentabilidade do aluguel (rental yield),Venda,Locação,Rentabilidade do aluguel (rental yield)
1,,Número-Índice,Número-Índice,(% - mensalizada),Número-Índice,Número-Índice,(% - mensalizada)
2,Data,Total,Total,Total,Total,Total,Total
3,2008-01-01 00:00:00,41.811068498625254,70.8668233584297,0.006443816867974957,.,.,.
4,2008-02-01 00:00:00,42.065077010020694,71.55287143379459,0.006484195952947009,.,.,.
5,2008-03-01 00:00:00,42.506114495884376,74.22860250368524,0.006655037527462186,.,.,.
6,2008-04-01 00:00:00,43.090376888038406,75.43447128828088,0.0066876188515812935,.,.,.
7,2008-05-01 00:00:00,43.66682236804259,77.13043734117352,0.006753094383034838,.,.,.
8,2008-06-01 00:00:00,44.31249165100063,76.8190602358537,0.006650631036873439,.,.,.
9,2008-07-01 00:00:00,44.908595389006244,78.0509304008757,0.006674762714823748,.,.,.
10,2008-08-01 00:00:00,45.375148677227436,78.50241943392432,0.006649181075804615,.,.,.
11,2008-09-01 00:00:00,45.83785217110294,80.14288781005675,0.006728451264714934,.,.,.
12,2008-10-01 00:00:00,46.36882490056597,81.43005795277654,0.006749952423528062,.,.,.
13,2008-11-01 00:00:00,47.110517962658264,82.01299151332643,0.0066914507775270235,.,.,.
14,2008-12-01 00:00:00,47.943203126129774,82.04378303742895,0.006562619388238122,.,.,.
15,2009-01-01 00:00:00,48.604826558414146,82.28393647689623,0.006495703505643753,.,.,.
16,2009-02-01 00:00:00,49.245623076693576,83.43120085265934,0.006495625869483086,.,.,.
17,2009-03-01 00:00:00,49.79738072934897,84.10279476276077,0.0064765588438680955,.,.,.
18,2009-04-01 00:00:00,50.54291192053071,84.4454799082854,0.006399026955308357,.,.,.
19,2009-05-01 00:00:00,51.2800256808521,84.72331250860276,0.00631844770211589,.,.,.
20,2009-06-01 00:00:00,52.08869085515517,85.41224109392972,0.006261571637972698,.,.,.
21,2009-07-01 00:00:00,53.01319251573822,85.57138517364878,0.006154391781102856,.,.,.
22,2009-08-01 00:00:00,53.97870666468058,86.0912397816494,0.006063983150074975,.,.,.
23,2009-09-01 00:00:00,54.91186829109262,86.62185679203058,0.005987013345106717,.,.,.
